date,prcp_mm,daily_trips,avg_distance,elasticity_corr
2025-03-29,4.4,161895,3.20470397479847,0.07136341923036013
2025-03-30,0.8,135459,3.9170274400371854,0.07136341923036013
2025-03-31,19.7,113179,3.675695756279938,0.07136341923036013
2025-04-01,23.2,127123,3.3675571690410364,0.07136341923036013
2025-04-02,0.0,135097,3.0877976564987124,0.07136341923036013
2025-04-03,2.9,136095,3.2545892207649194,0.07136341923036013
2025-04-04,6.9,132678,3.2848208444504894,0.07136341923036013
2025-04-05,3.3,152111,3.107048273957838,0.07136341923036013
2025-04-06,4.4,121871,3.784156936432811,0.07136341923036013
2025-04-07,8.1,114336,3.474793765743061,0.07136341923036013
2025-04-08,0.0,129681,3.0955968106353424,0.07136341923036013
2025-04-09,0.0,135732,3.1558473315062265,0.07136341923036013
2025-04-10,0.3,144391,3.156814552153638,0.07136341923036013
